Date ,Day of the Week,Clipper Tags,Fare App Activations,Onboard Count,Bicycles,Wheelchairs,Notes About Day
11/24/2017,Friday,986,665,2075,66,3,Holiday
11/25/2017,Saturday,979,500,1681,55,8,N/A
11/26/2017,Sunday,340,240,664,15,0,N/A
11/27/2017,Monday,1808,157,2127,215,9,N/A
11/28/2017,Tuesday,1901,164,2199,280,3,N/A
11/29/2017,Wednesday,1954,133,2275,242,12,N/A
11/30/2017,Thursday,1984,268,2376,239,10,N/A
12/1/2017,Friday,1851,254,2299,257,9,N/A
12/2/2017,Saturday,599,290,1034,38,4,N/A
12/3/2017,Sunday,520,238,883,39,3,N/A
12/4/2017,Monday,1814,173,2145,259,15,N/A
12/5/2017,Tuesday,1886,154,2199,254,7,N/A
12/6/2017,Wednesday,1881,166,2236,236,9,N/A
12/7/2017,Thursday,1829,174,2162,238,9,N/A
12/8/2017,Friday,1900,221,2277,209,8,N/A
12/9/2017,Saturday,604,251,1009,39,6,N/A
12/10/2017,Sunday,528,203,851,45,6,N/A
12/11/2017,Monday,1747,131,1993,235,8,N/A
12/12/2017,Tuesday,1890,165,2133,233,12,N/A
12/13/2017,Wednesday,1847,163,2148,225,2,N/A
12/14/2017,Thursday,1923,233,2251,220,8,N/A
12/15/2017,Friday,1755,241,2206,198,10,N/A
12/16/2017,Saturday,573,283,999,37,4,N/A
12/17/2017,Sunday,564,225,1004,30,4,N/A
12/18/2017,Monday,1786,250,2167,236,15,N/A
12/19/2017,Tuesday,1789,202,2169,227,7,N/A
12/20/2017,Wednesday,1794,158,2134,211,9,N/A
12/21/2017,Thursday,1725,227,2149,227,5,N/A
12/22/2017,Friday,1538,343,2065,154,7,N/A
12/23/2017,Saturday,650,349,1023,31,6,N/A
12/24/2017,Sunday,409,205,668,19,3,Xmas Eve
12/25/2017,Monday,248,65,346,17,3,Holiday
12/26/2017,Tuesday,1438,528,2284,84,15,N/A
12/27/2017,Wednesday,1725,577,2612,122,10,N/A
